Timestamp,Interface,Sequence Number,Latency
1721285494.4872909,Interface 2,112,17.344001054763794
1721285494.521618,Interface 2,113,17.344210863113403
1721285494.521618,Interface 2,113,17.344210863113403
1721285494.5551682,Interface 2,114,17.343749284744263
1721285494.5551682,Interface 2,114,17.343749284744263
1721285494.588043,Interface 2,115,17.343775749206543
1721285494.588043,Interface 2,115,17.343775749206543
1721285494.6223326,Interface 2,116,17.344560384750366
1721285494.6223326,Interface 2,116,17.344560384750366
1721285494.6546612,Interface 2,117,17.342530250549316
1721285494.6546612,Interface 2,117,17.342530250549316
1721285494.68945,Interface 2,118,17.343055486679077
1721285494.68945,Interface 2,118,17.343055486679077
1721285494.7222478,Interface 2,119,17.342861652374268
1721285494.7222478,Interface 2,119,17.342861652374268
1721285494.7555726,Interface 2,120,17.34266972541809
1721285494.7555726,Interface 2,120,17.34266972541809
1721285494.790523,Interface 2,121,17.34292483329773
1721285494.790523,Interface 2,121,17.34292483329773
1721285494.8241186,Interface 2,122,17.334441900253296
1721285494.8241186,Interface 2,122,17.334441900253296
1721285494.8578045,Interface 2,123,17.341979026794434
1721285494.8578045,Interface 2,123,17.341979026794434
1721285494.8916798,Interface 2,124,17.34203052520752
1721285494.8916798,Interface 2,124,17.34203052520752
1721285494.9246006,Interface 2,125,17.343376874923706
1721285494.9246006,Interface 2,125,17.343376874923706
1721285494.9574375,Interface 2,126,17.343064308166504
1721285494.9574375,Interface 2,126,17.343064308166504
1721285494.9913478,Interface 2,127,17.34310531616211
1721285494.9913478,Interface 2,127,17.34310531616211
1721285495.0272186,Interface 2,128,17.34511923789978
1721285495.0272186,Interface 2,128,17.34511923789978
1721285495.0590057,Interface 2,129,17.34441351890564
1721285495.0590057,Interface 2,129,17.34441351890564
1721285495.0925171,Interface 2,130,17.34407138824463
1721285495.0925171,Interface 2,130,17.34407138824463
1721285495.1259012,Interface 2,131,17.34345316886902
1721285495.1259012,Interface 2,131,17.34345316886902
1721285495.1624143,Interface 2,132,17.346733808517456
1721285495.1624143,Interface 2,132,17.346733808517456
1721285495.2117267,Interface 2,133,17.35782766342163
1721285495.2117267,Interface 2,133,17.35782766342163
1721285495.2318673,Interface 2,134,17.349109649658203
1721285495.2318673,Interface 2,134,17.349109649658203
1721285495.2612004,Interface 2,135,17.34449076652527
1721285495.2612004,Interface 2,135,17.34449076652527
1721285495.2947385,Interface 2,136,17.343964099884033
1721285495.2947385,Interface 2,136,17.343964099884033
1721285495.3278108,Interface 2,137,17.343904495239258
1721285495.3278108,Interface 2,137,17.343904495239258
1721285495.3609786,Interface 2,138,17.34345293045044
1721285495.3609786,Interface 2,138,17.34345293045044
1721285495.3958104,Interface 2,139,17.34225296974182
1721285495.3958104,Interface 2,139,17.34225296974182
1721285495.4282558,Interface 2,140,17.34395432472229
1721285495.4282558,Interface 2,140,17.34395432472229
1721285495.4626524,Interface 2,141,17.34500765800476
1721285495.4626524,Interface 2,141,17.34500765800476
1721285495.496192,Interface 2,142,17.344056606292725
1721285495.496192,Interface 2,142,17.344056606292725
1721285495.5291452,Interface 2,143,17.34305477142334
