Interface,Sequence Number,Arrival Time,Latency
121.128.92.46,348,1721294442.0245416,0.2048635482788086
121.128.92.46,349,1721294442.0576994,0.20464444160461426
121.128.92.46,350,1721294442.0926456,0.20597076416015625
121.128.92.46,351,1721294442.1250584,0.20502638816833496
121.128.92.46,352,1721294442.157951,0.20442605018615723
121.128.92.46,353,1721294442.1920667,0.20487165451049805
121.128.92.46,354,1721294442.2278483,0.2074294090270996
121.128.92.46,355,1721294442.2588089,0.20488786697387695
121.128.92.46,356,1721294442.2926548,0.20493268966674805
121.128.92.46,357,1721294442.3265269,0.2053678035736084
121.128.92.46,358,1721294442.3595846,0.20464062690734863
121.128.92.46,359,1721294442.3940012,0.20529723167419434
121.128.92.46,360,1721294442.4294093,0.20705938339233398
121.128.92.46,361,1721294442.4619768,0.20584368705749512
121.128.92.46,362,1721294442.4954302,0.20575523376464844
121.128.92.46,363,1721294442.5294352,0.20598816871643066
121.128.92.46,364,1721294442.5647483,0.20776629447937012
121.128.92.46,365,1721294442.5982175,0.20784640312194824
121.128.92.46,366,1721294442.6291769,0.20506882667541504
121.128.92.46,367,1721294442.6631837,0.2053077220916748
121.128.92.46,368,1721294442.6956916,0.2042086124420166
121.128.92.46,369,1721294442.7296534,0.2044224739074707
121.128.92.46,370,1721294442.7630718,0.20430278778076172
121.128.92.46,371,1721294442.7975135,0.20499539375305176
121.128.92.46,372,1721294442.8305457,0.20456171035766602
121.128.92.46,373,1721294442.8652775,0.2054295539855957
121.128.92.46,374,1721294442.8975744,0.2042834758758545
121.128.92.46,375,1721294442.9319837,0.2047736644744873
121.128.92.46,376,1721294442.9658802,0.2049250602722168
121.128.92.46,377,1721294442.999911,0.20529913902282715
121.128.92.46,378,1721294443.0324838,0.20424580574035645
121.128.92.46,379,1721294443.066341,0.20486903190612793
121.128.92.46,380,1721294443.1002748,0.20512771606445312
121.128.92.46,381,1721294443.1340759,0.20528888702392578
121.128.92.46,382,1721294443.167219,0.20479393005371094
121.128.92.46,383,1721294443.2010596,0.2053086757659912
121.128.92.46,384,1721294443.2339616,0.20459365844726562
