Interface IP_1,Interface ID_1,Sequence Number,Latency_1,Interface IP_2,Interface ID_2,Latency_2,Latency Difference
163.152.3.141,1.0,33791,0.0157063007354736,163.152.3.141,2,0.0499248504638671,0.0342185497283935
163.152.3.141,1.0,33797,0.0205497741699218,163.152.3.141,2,0.0569334030151367,0.0363836288452149
163.152.3.141,1.0,33803,0.0114181041717529,163.152.3.141,2,0.0405304431915283,0.029112339019775398
163.152.3.141,1.0,34031,0.0143625736236572,163.152.3.141,2,0.0370435714721679,0.0226809978485107
163.152.3.141,1.0,34037,0.0131888389587402,163.152.3.141,2,0.0482211112976074,0.0350322723388672
163.152.3.141,1.0,34043,0.0148437023162841,163.152.3.141,2,0.0467913150787353,0.0319476127624512
163.152.3.141,1.0,35027,0.0117347240447998,163.152.3.141,2,0.0356075763702392,0.023872852325439405
163.152.3.141,1.0,35033,0.0118305683135986,163.152.3.141,2,0.0575189590454101,0.0456883907318115
163.152.3.141,1.0,35039,0.0116984844207763,163.152.3.141,2,0.0515971183776855,0.0398986339569092
163.152.3.141,1.0,35045,0.0140318870544433,163.152.3.141,2,0.053276777267456,0.039244890213012695
163.152.3.141,1.0,35051,0.0118176937103271,163.152.3.141,2,0.0460357666015625,0.0342180728912354
163.152.3.141,1.0,35981,0.0366237163543701,163.152.3.141,2,0.0113615989685058,0.025262117385864303
163.152.3.141,1.0,35987,0.0398626327514648,163.152.3.141,2,0.0116996765136718,0.028162956237793003
163.152.3.141,1.0,37373,0.0311710834503173,163.152.3.141,2,0.0100674629211425,0.021103620529174798
163.152.3.141,1.0,37379,0.0482282638549804,163.152.3.141,2,0.0122847557067871,0.0359435081481933
163.152.3.141,1.0,39198,0.0389094352722168,163.152.3.141,2,0.0169098377227783,0.021999597549438497
163.152.3.141,1.0,41931,0.0731720924377441,163.152.3.141,2,0.0139026641845703,0.0592694282531738
163.152.3.141,1.0,42245,0.018935203552246,163.152.3.141,2,0.0404517650604248,0.021516561508178798
163.152.3.141,1.0,44717,0.0110456943511962,163.152.3.141,2,0.0433895587921142,0.032343864440918
163.152.3.141,1.0,44723,0.0124273300170898,163.152.3.141,2,0.0441763401031494,0.0317490100860596
163.152.3.141,1.0,44729,0.0130121707916259,163.152.3.141,2,0.0387051105499267,0.025692939758300802
163.152.3.141,1.0,46955,0.0319664478302001,163.152.3.141,2,0.0107209682464599,0.0212454795837402
163.152.3.141,1.0,46961,0.0388495922088623,163.152.3.141,2,0.0109791755676269,0.0278704166412354
