Interface IP,Interface ID,Sequence Number,Latency
39.7.28.20,1,125,0.12906169891357422
39.7.28.20,2,125,0.12946271896362305
39.7.28.20,2,126,0.10248994827270508
39.7.28.20,1,126,0.11196231842041016
39.7.28.20,2,127,0.11433076858520508
39.7.28.20,2,131,0.12095427513122559
39.7.28.20,1,127,0.12244868278503418
39.7.28.20,2,128,0.12464618682861328
39.7.28.20,2,129,0.13169121742248535
39.7.28.20,2,130,0.13150787353515625
39.7.28.20,1,128,0.13216495513916016
39.7.28.20,1,129,0.1320946216583252
39.7.28.20,1,130,0.13203740119934082
39.7.28.20,1,131,0.13194656372070312
39.7.28.20,1,132,0.11211490631103516
39.7.28.20,2,132,0.12172794342041016
39.7.28.20,1,133,0.1222221851348877
39.7.28.20,2,133,0.12224745750427246
39.7.28.20,2,134,0.12459969520568848
39.7.28.20,1,134,0.12504839897155762
39.7.28.20,2,135,0.12529683113098145
39.7.28.20,1,135,0.12578558921813965
39.7.28.20,2,136,0.1259472370147705
39.7.28.20,1,136,0.12626004219055176
39.7.28.20,2,137,0.1275959014892578
39.7.28.20,1,137,0.12798619270324707
39.7.28.20,2,138,0.12907075881958008
39.7.28.20,1,138,0.13971519470214844
39.7.28.20,1,139,0.13967227935791016
39.7.28.20,2,139,0.14004278182983398
39.7.28.20,2,140,0.1485733985900879
39.7.28.20,2,141,0.14856219291687012
39.7.28.20,2,142,0.14873743057250977
39.7.28.20,1,140,0.1492290496826172
39.7.28.20,1,141,0.14905548095703125
39.7.28.20,1,142,0.14922738075256348
39.7.28.20,1,144,0.11545300483703613
39.7.28.20,1,143,0.14919614791870117
39.7.28.20,2,143,0.1497807502746582
39.7.28.20,2,144,0.12008309364318848
39.7.28.20,1,145,0.12256765365600586
39.7.28.20,2,145,0.12369108200073242
39.7.28.20,1,146,0.12417340278625488
39.7.28.20,1,147,0.12588787078857422
39.7.28.20,2,146,0.1260991096496582
39.7.28.20,1,149,0.12760400772094727
39.7.28.20,2,149,0.12760257720947266
39.7.28.20,1,148,0.1295912265777588
39.7.28.20,2,147,0.1298234462738037
39.7.28.20,2,148,0.13011908531188965
39.7.28.20,2,150,0.10006356239318848
39.7.28.20,1,150,0.10419416427612305
39.7.28.20,2,151,0.10460662841796875
39.7.28.20,2,152,0.11231398582458496
39.7.28.20,2,153,0.11370348930358887
39.7.28.20,2,155,0.11330533027648926
39.7.28.20,1,151,0.11881589889526367
39.7.28.20,2,154,0.12320637702941895
39.7.28.20,1,152,0.12421131134033203
